id,Question,Informational,Guidance oriented,Institutional,Conversational
1, what is the exam schedule/timetable?,The exam schedule is shared in the WhatsApp community group by the Head of Department. It is also available on the college website and on the notice board. Heres the link for Examination Datesheet: https://www.npgc.in/StudentSupport-Datesheet.aspx,"You can find the exam schedule in the WhatsApp community group shared by the Head of Department. It is also published on the college website, and updates are posted on the notice board. Heres the link for Examination Datesheet: https://www.npgc.in/StudentSupport-Datesheet.aspx",The examination schedule is communicated by the Head of Department through the WhatsApp community group. It can also be accessed on the college website or checked on the notice board. Heres the link for Examination Datesheet: https://www.npgc.in/StudentSupport-Datesheet.aspx,The Head of Department usually shares the exam schedule in the WhatsApp community group. You can also check the college website or the notice board for the latest updates. Heres the link for Examination Datesheet: https://www.npgc.in/StudentSupport-Datesheet.aspx
2,what are diploma courses offered?,"The college offers the following diploma and postgraduate diploma courses: Advanced Diploma in Analytical Techniques & Instrumental Analysis, Advanced Diploma in Data Analytics, Office Automation & E-Governance under Community College, Banking & Finance under Community College, Post Graduation Diploma in Retail Management, and Post Graduation Diploma in Remote Sensing & GIS.","The college provides a range of diploma and postgraduate diploma programs, including Advanced Diploma in Analytical Techniques & Instrumental Analysis, Advanced Diploma in Data Analytics, Office Automation & E-Governance under Community College, Banking & Finance under Community College, Post Graduation Diploma in Retail Management, and Post Graduation Diploma in Remote Sensing & GIS.",The institution offers the following diploma and postgraduate diploma programmes: Advanced Diploma in Analytical Techniques & Instrumental Analysis; Advanced Diploma in Data Analytics; Office Automation & E-Governance under Community College; Banking & Finance under Community College; Post Graduation Diploma in Retail Management; and Post Graduation Diploma in Remote Sensing & GIS.,"The college offers several diploma courses, such as Advanced Diploma in Analytical Techniques & Instrumental Analysis, Advanced Diploma in Data Analytics, Office Automation & E-Governance and Banking & Finance under the Community College, as well as Post Graduation Diploma programs in Retail Management and Remote Sensing & GIS."
3,how to see/check result on website?," To check the results, navigate to the college website, tap the three lines on the side of the blue bar, go to Student Corner, select the Results option, and enter your Student ID. Link for results: https://result.npgc.in/","You can view your results by visiting the college website, tapping the three lines on the blue bar, selecting Student Corner, choosing the Results option, and entering your Student ID. Link for results: https://result.npgc.in/","Students may access their results by visiting the college website, selecting the three-line menu on the blue bar, navigating to Student Corner, choosing the Results option, and entering their Student ID. Link for results: https://result.npgc.in/","To see your results, go to the college website, tap the three-line menu on the blue bar, open Student Corner, select Results, and enter your Student ID.  Link for results: https://result.npgc.in/                                                                                                      "
4,how to apply for backpaper?,"Students may raise their queries regarding back paper forms or related fees at Counter 4 in the Administrative Department. Alternatively, they may contact the concerned subject teacher or the Head of Department (HOD).","For queries related to back paper forms or fees, students should first approach Counter 4 in the Administrative Department. If further clarification is required, they may contact the concerned subject teacher or the Head of Department (HOD).","Students are hereby informed that queries pertaining to back paper forms and fees may be addressed at Counter 4 of the Administrative Department. Additionally, students may contact the concerned subject teacher or the Head of Department (HOD) for academic clarification.","Got questions about back paper forms or fees? Start with Counter 4 in the administrative department. If that doesn�t clear things up, talk to your subject teacher or the HOD."
5,how do I get the marksheet?,Students can collect their marksheet from Counter No. 6 in the administrative department. An old library card or ID card may be required for verification,Students may retrieve their marksheet from Counter No. 6 at the administrative department. Please note that you may be asked to show your old library card or ID card.,Students are informed that marksheets can be obtained from Counter No. 6 of the administrative department. Submission of an old library card or ID card may be required.,"You can collect your marksheet from Counter No. 6 in the administrative department. Just make sure to carry your old library card or ID card, as it may be needed."
6,how to fill the examination form?,First-year students must fill and submit the examination form in the college. Senior students can fill and submit the examination form online through the college website. The related instructions are available on the ID and password page. Heres the link for Examination Form: https://exam.npgc.in/,"If you are a first-year student, the examination form needs to be filled and submitted at the college. Senior students can complete and submit the form online on the college website, and the instructions are provided on the ID and password page. Heres the link for Examination Form: https://exam.npgc.in/","For first-year students, the examination form must be filled and submitted at the college. Senior students are permitted to fill and submit the examination form online through the college website. Instructions regarding the process are mentioned on the ID and password page. Heres the link for Examination Form: https://exam.npgc.in/",First-year students need to fill out and submit the examination form in college. Senior students can do this online through the college website. You�ll find the instructions on the ID and password page. Heres the link for Examination Form: https://exam.npgc.in/
7,what is the marks distribution of the exams?,"For theory subjects, the semester-end examination carries 70 marks and internal assessment carries 30 marks, which includes a written test of 20 marks, attendance of 5 marks, and behavioural conduct of 5 marks. For practical subjects, the semester-end practical examination carries 70 marks and internal assessment carries 30 marks, which includes internal practical of 20 marks, viva-voce of 5 marks, and practical file of 5 marks. The grading system follows CBCS with letter grades and grade points on a 10-point scale. For more information, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","In theory subjects, students are evaluated through a 70-mark semester-end examination and a 30-mark internal assessment consisting of a written test (20 marks), attendance (5 marks), and behavioural conduct (5 marks). For practical subjects, evaluation includes a 70-mark semester-end practical examination and a 30-mark internal assessment comprising internal practical (20 marks), viva-voce (5 marks), and practical file (5 marks). The college follows the CBCS grading system with letter grades and grade points based on a 10-point scale. For more information, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","The evaluation scheme for theory subjects includes a semester-end examination of 70 marks and an internal assessment of 30 marks, comprising a written test (20 marks), attendance (5 marks), and behavioural conduct (5 marks). For practical subjects, assessment consists of a semester-end practical examination of 70 marks and an internal assessment of 30 marks, including internal practical (20 marks), viva-voce (5 marks), and practical file (5 marks). Grading is conducted under the CBCS system using letter grades and grade points on a 10-point scale. For more information, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","For theory subjects, you�ll have a 70-mark semester-end exam and 30 marks for internal assessment, which includes a written test, attendance, and behavioural conduct. Practical subjects also have a 70-mark semester-end practical exam and 30 marks for internal assessment, covering internal practicals, viva-voce, and the practical file. The college follows the CBCS grading system with letter grades on a 10-point scale. For more information, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx"
8,when are internal assessments conducted?,"Internal tests are conducted twice in a semester before the final external examinations. Each test usually covers two units and is conducted for 20 marks. For more information on exams and assessments, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","The college conducts two internal tests in each semester before the final external exams. Each internal test generally includes two units and is evaluated for 20 marks. For more information on exams and assessments, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","Internal tests are conducted twice during each semester prior to the final external examinations. Each test typically covers two units and carries a total of 20 marks. For more information on exams and assessments, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx","There are two internal tests in each semester before the final external exams. Each test usually covers two units and is held for 20 marks. For more information on exams and assessments, visit https://www.npgc.in/Academics-ExamAssesCBCS.aspx"
9,whom to contact for exam related issues?,Any exam-related problem can be resolved by consulting your subject teacher or the Head of Department.,"If you face any issues related to exams, you can easily get them resolved by speaking with your subject teacher or the Head of Department.",Students encountering any examination-related issues are advised to consult their respective subject teacher or the Head of Department for resolution.,"If you have any questions or problems about exams, just reach out to your subject teacher or the Head of Department�they�ll be able to help."
10,how to apply for leave officially?,"Students may submit a written application to the Head of Department, send it through a friend, or email it to the department�s email ID.","You can submit your application by writing to the Head of Department, sending it through one of your friends, or emailing it to the department�s official email ID.","Students are permitted to submit a written application addressed to the Head of Department either in person, through a representative, or via the department�s official email ID.","You can apply by submitting a written application to the HOD, sending it through a friend, or emailing it to the department�s email ID."
